keys,en,pt,es,fr,ua
DIALOGUE_INSTRUCTIONS_KB,Press SPACEBAR to continue - Hold to skip,Prima ESPAÇO para continuar - Segure para saltar,Pulsa la BARRA ESPACIADORA para continuar - Mantenga para saltar,Appuie sur ESPACE pour continuer - Maintiens pour passer,"Натисни ПРОБІЛ, щоб продовжити - Утримуй, щоб пропустити"
DIALOGUE_INSTRUCTIONS_CTRL,Press A to continue - Hold to skip,Prima A para continuar - Segure para saltar,Pulsa A para continuar - Mantenga para saltar,Appuie sur A pour continuer - Maintiens pour passer,"Натисни A, щоб продовжити - Утримуй, щоб пропустити"
JUSTIN,Justin,Justin,Justin,Justin,Джастін
SIRFROG,Sir Frogginton III,Sir Frogginton III,Señor Frogginton III,Sir Frogginton III,Сер Фроґґінтон III
SAL,Sal,Sal,Sal,Sal,Сал
VITO,Vito,Vito,Vito,Vito,Віто
OT,O.T.,O.T.,O.T.,O.T.,О.Т.
SHORK,Friend,Friend,Friend,Ami,Друг
YES,YES,SIM,SÍ,OUI,ТАК
NO,NO,NÃO,NO,NON,НІ
PLAY,PLAY,JOGAR,JUGAR,JOUER,ГРАТИ
OPTIONS,OPTIONS,OPÇÕES,OPCIONES,OPTIONS,НАЛАШТУВАННЯ
EXIT GAME,EXIT GAME,SAIR,SALIR,QUITTER,ВИЙТИ З ГРИ
BACK,BACK,VOLTAR,VOLVER,RETOUR,НАЗАД
LEVEL 1,LEVEL 1,NÍVEL 1,NIVEL 1,NIVEAU 1,РІВЕНЬ 1
LEVEL 2,LEVEL 2,NÍVEL 2,NIVEL 2,NIVEAU 2,РІВЕНЬ 2
LEVEL 3,LEVEL 3,NÍVEL 3,NIVEL 3,NIVEAU 3,РІВЕНЬ 3
LEVEL 4,LEVEL 4,NÍVEL 4,NIVEL 4,NIVEAU 4,РІВЕНЬ 4
LEVEL 5,LEVEL 5,NÍVEL 5,NIVEL 5,NIVEAU 5,РІВЕНЬ 5
LEVEL 6,LEVEL 6,NÍVEL 6,NIVEL 6,NIVEAU 6,РІВЕНЬ 6
INFINITE,INFINITE,INFINITO,INFINITO,INFINI,НЕСКІНЧЕННО
HIGHEST SCORE,HIGHEST SCORE,PONTUAÇÃO MAIS ALTA,PUNTUACIÓN MÁS ALTA,MEILLEUR SCORE,НАЙВИЩИЙ РАХУНОК
RESUME,RESUME,CONTINUAR,CONTINUAR,REPRENDRE,ПРОДОВЖИТИ
GIVE UP,GIVE UP,DESISTIR,ABANDONAR,ABANDONNER,ЗДАТИСЯ
RETRY,RETRY,DE NOVO,DE NUEVO,RÉESSAYER,СПРОБУВАТИ ЗНОВУ
NEXTLVL,NEXT LEVEL,CONTINUAR,CONTINUAR,NIVEAU SUIVANT,НАСТУПНИЙ РІВЕНЬ
EXIT,EXIT,SAIR,SALIR,QUITTER,ВИЙТИ
GENERAL,GENERAL,GERAL,GENERAL,GÉNÉRAL,ЗАГАЛЬНЕ
AUDIO,AUDIO,ÁUDIO,AUDIO,AUDIO,АУДІО
CONTROLS,CONTROLS,CONTROLOS,CONTROLES,COMMANDES,КЕРУВАННЯ
LANGUAGE,Language,Idioma,Idioma,Langue,Мова
Difficulty,Difficulty,Dificuldade,Dificultad,Difficulté,Складність
EASY,EASY,FÁCIL,FÁCIL,FACILE,ЛЕГКО
NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,НОРМАЛЬНО
